Contact ID,What is your current level of education?,Primary Associated Company ID,Number of Associated Deals,Omics Technology you are more interested in,Country/Region,City,Create Date,Level of Education,Last Activity Date,Original Source,Close Date,Days To Close,How difficult was it to take the couses?,How would you rate your experience?,Quote/Testimonial,Rate your experience,Rate your overall experience,Total Revenue,Was the previous course you took useful to complete this lesson?,Were the topics covered of interest?,What would you rate the workshop (1 poor - 5 excellent),Would you recommend the OmicsLogic Bioinformatics Research Fellowship Program to other students?,Would you recommend the course to anyone?,Associated Company
18159001,,8786538419,1,,United States,Bear,5/25/22 17:01,Undergraduate (Bachelors - B.Sc. or B.A.),,Offline Sources,5/25/22 23:46,1,It was not hard neither too easy,,,5,,10,Yes,,,,Yes,Employed
18158851,,,,,,,5/25/22 16:34,,,Offline Sources,,,,,,,,,,,,,,
18158651,,,,,,,5/25/22 16:11,,,Direct Traffic,,,,,,,,,,,,,,
18158451,,8654512780,,,,,5/25/22 15:56,,,Offline Sources,,,,,,,,,,,,,,Boise State University
18157201,,8786329168,,,United States,Baton Rouge,5/25/22 15:45,Doctorate (Ph.D.),,Referrals,,,,,,,,,,,,,,Louisiana State University
18157951,,,,,,,5/25/22 15:12,,,Offline Sources,,,,,,,,,,,,,,
18157901,,8776888499,,,,,5/25/22 15:11,,,Offline Sources,,,,,,,,,,,,,,"University of Nevada, Las Vegas"
18157851,,8776888499,,,,,5/25/22 15:11,,5/25/22 15:00,Offline Sources,,,,,,,,,,,,,,"University of Nevada, Las Vegas"
18157801,,,,,,,5/25/22 15:10,,,Offline Sources,,,,,,,,,,,,,,
18156851,,,,,,,5/25/22 14:54,,,Organic Search,,,,,,,,,,,,,,
18156751,,8785426613,,,,,5/25/22 14:53,"Graduate (Masters, M.Sc. typically with intent to pursue Ph.D.)",,Email Marketing,,,,,,,,,,,,,,University of Pittsburgh
18156451,,2332114177,,,,,5/25/22 14:36,,,Offline Sources,,,,,,,,,,,,,,University of Calgary
18155751,,8785234946,,,,,5/25/22 13:44,,,Organic Search,,,,,,,,,,,,,,Istanbul University
18155651,,8785204311,,,,,5/25/22 13:37,Faculty ( In a University or any other institution),,Direct Traffic,,,,,,,,,,,,,,University of Central Oklahoma
18152601,,,,,,,5/25/22 12:34,,,Direct Traffic,,,,,,,,,,,,,,
18154601,,8783735819,,,,,5/25/22 11:49,Faculty ( In a University or any other institution),,Email Marketing,,,,,,,,,,,,,,university of New Mexico
18154351,,8784206154,,,,,5/25/22 11:34,"Graduate (Masters, M.Sc. typically with intent to pursue Ph.D.)",,Email Marketing,,,,,,,,,,,,,,Southeastern Oklahoma State University
18154451,,,,,,,5/25/22 11:32,,,Offline Sources,,,,,,,,,,,,,,
18154001,,8784143907,,,,,5/25/22 10:49,,,Offline Sources,,,,,,,,,,,,,,Trinity University
18152951,,8783380319,,,,,5/25/22 10:11,Doctorate (Ph.D.),5/25/22 10:14,Organic Social,,,,,,,,,,,,,,University of Johannesburg
18152901,,8783390302,,,,,5/25/22 9:54,"Graduate (Masters, M.Sc. typically with intent to pursue Ph.D.)",,Organic Social,,,,,,,,,,,,,,University of Ibadan
18152801,,8783776665,,,United States,Metarie,5/25/22 9:46,Undergraduate (Bachelors - B.Sc. or B.A.),,Direct Traffic,,,,,,,,,,,,,,Xavier University of Louisiana
17891801,,8783189577,,,,,5/25/22 9:06,Doctorate (Ph.D.),,Direct Traffic,,,,,,,,,,,,,,Medical University of South Carolina
18152151,,8783114534,,,,,5/25/22 9:06,,,Direct Traffic,,,,,,,,,,,,,,The Francis Crick Institute
18151201,,,,,,,5/25/22 7:53,,,Offline Sources,,,,,,,,,,,,,,
18150751,,8782166704,,,INDIA,chandigarh,5/25/22 6:51,Doctorate (Ph.D.),,Organic Social,,,,,,,,,,,,,,CSIR-IMTECH
18149751,,8781665046,,,,,5/25/22 5:00,Undergraduate (Bachelors - B.Sc. or B.A.),,Organic Social,,,,,,,,,,,,,,Chaudhary Charan singh haryana agricultural University
18149551,,,,,,,5/25/22 4:51,,,Offline Sources,,,,,,,,,,,,,,
18149101,,,,,,,5/25/22 4:35,,,Organic Search,,,,,,,,,,,,,,
18149251,,,,,,,5/25/22 4:22,,5/26/22 7:42,Offline Sources,,,,,,,,,,,,,,
18149201,,,,,,,5/25/22 4:20,,5/26/22 8:30,Direct Traffic,,,It was not hard neither too easy,,,5,,,Yes,,,,Yes,
18149151,,,,,India,imphal,5/25/22 4:17,,,Offline Sources,,,,,,,,,,,,,,
18146401,,8781241271,,,,,5/25/22 2:40,"Graduate (Masters, M.Sc. typically with intent to pursue Ph.D.)",,Organic Social,,,,,,,,,,,,,,MKwawa University College of Education
18145701,,8780944740,,,,mahendragrath,5/25/22 1:35,"Graduate (Masters, M.Sc. typically with intent to pursue Ph.D.)",,Offline Sources,,,,,,,,,,,,,,central university of haryana
18145401,,8780926291,,,,,5/25/22 1:32,Undergraduate (Bachelors - B.Sc. or B.A.),5/25/22 15:00,Email Marketing,,,,,,,,,,,,,,"University of Las Vegas, Nevada"
18145051,,,,,,,5/25/22 1:17,,,Offline Sources,,,,,,,,,,,,,,
18144901,,8780829020,,,,,5/25/22 1:15,Undergraduate (Bachelors - B.Sc. or B.A.),,Organic Social,,,,,,,,,,,,,,Vellore Institute of Technology
18144351,,,,,,,5/25/22 0:23,,,Offline Sources,,,,,,,,,,,,,,
18142401,,,,,,,5/24/22 20:55,,,Offline Sources,,,,,,,,,,,,,,
18142201,,8780461216,,,,,5/24/22 20:42,,,Referrals,,,,,,,,,,,,,,Ablehire
18142101,,8780392230,,,,,5/24/22 20:38,Doctorate (Ph.D.),,Organic Social,,,,,,,,,,,,,,Shyam Shah Medical College
18141101,,8778651138,,,,,5/24/22 18:27,Undergraduate (Bachelors - B.Sc. or B.A.),5/25/22 15:00,Paid Search,,,,,,,,,,,,,,Temple University
18140851,,8778644806,,,,,5/24/22 17:58,Undergraduate (Bachelors - B.Sc. or B.A.),5/25/22 15:00,Direct Traffic,,,,,,,,,,,,,,Furman University
18140601,,8777974416,,,,,5/24/22 17:23,Faculty ( In a University or any other institution),,Email Marketing,,,,,,,,,,,,,,University of Hawaii
18140251,,8777688970,,,,,5/24/22 16:58,Undergraduate (Bachelors - B.Sc. or B.A.),5/25/22 15:00,Email Marketing,,,,,,,,,,,,,,University of Nevada Las Vegas
18139551,,8777366554,,,,,5/24/22 16:19,,5/24/22 16:15,Organic Social,,,,,,,,,,,,,,University of Pennsylvania
18139451,,8776638275,,,,Baton Rouge,5/24/22 16:12,"Graduate (Masters, M.Sc. typically with intent to pursue Ph.D.)",,Offline Sources,,,,,,,,,,,,,,Louisiana State University
18137951,,8777429075,,,United States,New Orleans,5/24/22 15:58,"Graduate (Masters, M.Sc. typically with intent to pursue Ph.D.)",5/24/22 16:27,Direct Traffic,,,,,,,,,,,,,,Xavier University of Lousiana
18139001,,8777428371,,,,,5/24/22 15:45,Undergraduate (Bachelors - B.Sc. or B.A.),5/25/22 15:00,Email Marketing,,,,,,,,,,,,,,UNLV
18138401,,8776192007,,,,,5/24/22 15:28,Undergraduate (Bachelors - B.Sc. or B.A.),5/25/22 15:00,Email Marketing,,,,,,,,,,,,,,University of Nevada Las Vegas
18080651,,8776159810,,,,,5/24/22 15:28,Undergraduate (Bachelors - B.Sc. or B.A.),5/25/22 15:00,Email Marketing,,,,,,,,,,,,,,Boise State University
18138651,,8776076942,,,,,5/24/22 15:26,Undergraduate (Bachelors - B.Sc. or B.A.),5/25/22 15:00,Email Marketing,,,,,,,,,,,,,,"University of Nevada, Las Vegas"
18138601,,8775599728,,,,,5/24/22 15:25,Undergraduate (Bachelors - B.Sc. or B.A.),5/25/22 15:00,Email Marketing,,,,,,,,,,,,,,"University of Nevada, Las Vegas"
18138351,,8776026531,,,,,5/24/22 15:24,Undergraduate (Bachelors - B.Sc. or B.A.),5/25/22 15:00,Email Marketing,,,,,,,,,,,,,,"University of Nevada, Las Vegas"
18138551,,8776047521,,,,,5/24/22 15:23,Doctorate (Ph.D.),5/25/22 15:00,Email Marketing,,,,,,,,,,,,,,University of Nevada Las Vegas
18137351,,8776049410,,,,,5/24/22 14:29,Faculty ( In a University or any other institution),5/25/22 15:00,Email Marketing,,,,,,,,,,,,,,University of Kansas Medical Center
18137401,,,,,,,5/24/22 14:21,,5/24/22 14:21,Organic Social,,,,,,,,,,,,,,
18136301,,,,,,,5/24/22 13:58,,,Offline Sources,,,,,,,,,,,,,,
18115451,,,,,,,5/24/22 13:24,,5/24/22 13:24,Paid Search,,,,,,,,,,,,,,
18135701,,,,,,,5/24/22 13:02,,,Offline Sources,,,,,,,,,,,,,,
18135501,,,,,,,5/24/22 12:54,,,Offline Sources,,,,,,,,,,,,,,
18134701,,8774982437,,,,,5/24/22 12:17,"Graduate (Masters, M.Sc. typically with intent to pursue Ph.D.)",5/25/22 15:00,Email Marketing,,,,,,,,,,,,,,Black Hills State University
18134301,,8774883736,,,,Providence,5/24/22 12:00,Doctorate (Ph.D.),5/25/22 15:00,Email Marketing,,,,,,,,,,,,,,Brown University
18030251,,8775106201,,,,,5/24/22 11:56,Undergraduate (Bachelors - B.Sc. or B.A.),5/25/22 15:00,Email Marketing,,,,,,,,,,,,,,Brown University
18030401,,8774704915,,,,,5/24/22 11:50,"Graduate (Masters, M.Sc. typically with intent to pursue Ph.D.)",5/25/22 15:00,Email Marketing,,,,,,,,,,,,,,Brown University
18134051,,,,,,,5/24/22 11:42,,5/24/22 13:00,Offline Sources,,,,,,,,,,,,,,
18133651,,8774614967,,,Nepal,Kathmandu,5/24/22 11:22,Undergraduate (Bachelors - B.Sc. or B.A.),5/24/22 11:45,Organic Social,,,,,,,,,,,,,,Tribhuwan university
18133601,,8774342274,,,,,5/24/22 11:22,Doctorate (Ph.D.),,Organic Social,,,,,,,,,,,,,,Dr. Harisingh gour University
18133301,,8774275464,,,,,5/24/22 11:13,Undergraduate (Bachelors - B.Sc. or B.A.),,Organic Social,,,,,,,,,,,,,,Banasthali vidyapith
18132551,,8774226768,,,,,5/24/22 11:01,Doctorate (Ph.D.),,Organic Social,,,,,,,,,,,,,,Universiti Teknologi Malaysia
18131251,,,,,,,5/24/22 10:37,,5/26/22 7:40,Offline Sources,,,Extremely easy,,,4,,,No,,,,Yes,
18130901,,8773604248,,,United States,Gonzales,5/24/22 10:32,Undergraduate (Bachelors - B.Sc. or B.A.),5/25/22 15:00,Direct Traffic,,,,,,,,,,,,,,Louisiana State University
18130751,,8774317160,,,United States,Redmond,5/24/22 10:27,Associate Degree or High School,,Offline Sources,,,,,,,,,,,,,,University of Washington
18130201,,8773418126,,,,Ruston,5/24/22 10:20,Undergraduate (Bachelors - B.Sc. or B.A.),,Paid Search,,,,,,,,,,,,,,Louisiana Tech University
18128751,,8058200901,,,,,5/24/22 9:58,,,Offline Sources,,,,,,,,,,,,,,RGCB
18126151,,8773074694,,,,HYDERABAD,5/24/22 9:03,Post-Graduate (Post-doctorate),,Organic Social,,,,,,,,,,,,,,NIMS
18064201,,8772440880,,,Morocco,Casablanca,5/24/22 8:30,Doctorate (Ph.D.),,Organic Social,,,,,,,,,,,,,,Faculty of medicine and pharmacy of Casablanca
18125451,,,,,,,5/24/22 8:27,,,Offline Sources,,,,,,,,,,,,,,
18120301,,8772299690,,,,,5/24/22 7:48,,,Direct Traffic,,,,,,,,,,,,,,Institut Teknologi Bandung
18124151,,,,,,,5/24/22 7:33,,,Offline Sources,,,,,,,,,,,,,,
18123501,,8771998234,,,,Hung Hom,5/24/22 6:59,Doctorate (Ph.D.),,Offline Sources,,,,,,,,,,,,,,The Hong Kong Polytechnic University
18122501,,,,,,,5/24/22 6:17,,5/26/22 1:30,Offline Sources,,,,,,,,,,,,,,
18121401,,,,,,,5/24/22 4:31,,,Offline Sources,,,,,,,,,,,,,,
18121201,,,,,,,5/24/22 4:09,,,Offline Sources,,,,,,,,,,,,,,
18120101,,,,,,,5/24/22 2:16,,,Offline Sources,,,,,,,,,,,,,,
18118601,,,,,,,5/24/22 0:15,,,Offline Sources,,,,,,,,,,,,,,
18118551,,8770131083,,,,,5/24/22 0:13,,,Organic Search,,,,,,,,,,,,,,SkillSlash
18118401,,,,,,,5/23/22 23:59,,,Direct Traffic,,,,,,,,,,,,,,
18117351,,,,,,,5/23/22 20:10,,,Offline Sources,,,,,,,,,,,,,,
18117051,,8768816475,,,,Deerfield,5/23/22 19:51,Undergraduate (Bachelors - B.Sc. or B.A.),,Paid Search,,,,,,,,,,,,,,Xavier University
18116901,,8768550774,,,,Sete Lagoas,5/23/22 19:05,"Graduate (Masters, M.Sc. typically with intent to pursue Ph.D.)",,Referrals,,,,,,,,,,,,,,Embrapa
18116801,,,,,,,5/23/22 18:54,,,Offline Sources,,,,,,,,,,,,,,
18116551,,,,,,,5/23/22 18:31,,,Direct Traffic,,,,,,,,,,,,,,
18115851,,,,,,,5/23/22 16:40,,,Offline Sources,,,,,,,,,,,,,,
18115151,,8766895944,1,,,,5/23/22 15:48,"Graduate (Masters, M.Sc. typically with intent to pursue Ph.D.)",,Referrals,,,,,,,,,,,,,,University
18113701,,,,,,,5/23/22 12:31,,,Offline Sources,,,,,,,,,,,,,,
18113451,,8764767659,,,,Russia,5/23/22 12:01,Associate Degree or High School,,Referrals,,,,,,,,,,,,,,Инженер-исследователь кафедры «Системное программирование»  «Южно-Уральский государственный университет (национальный исследовательский университет)»
18113301,,,,,,,5/23/22 11:49,,,Offline Sources,,,,,,,,,,,,,,
18113251,,,,,,,5/23/22 11:41,,,Offline Sources,,,,,,,,,,,,,,
18113151,,8763951947,,,,,5/23/22 11:35,,,Offline Sources,,,,,,,,,,,,,,University of Bari Aldo Moro
18112701,,8764064439,,,India,Bangalore,5/23/22 11:34,,,Organic Search,,,,,,,,,,,,,,Eli Lilly and Company
18112951,,8764568127,,,United States,Dixfield,5/23/22 11:34,"Graduate (Masters, M.Sc. typically with intent to pursue Ph.D.)",5/23/22 14:07,Email Marketing,,,,,would like to begin soon,,,,,,,,,MIT
18112201,,,,,,,5/23/22 10:15,,,Offline Sources,,,,,,,,,,,,,,
18111851,,8763043842,,,,,5/23/22 10:07,Undergraduate (Bachelors - B.Sc. or B.A.),5/25/22 15:00,Paid Search,,,,,,,,,,,,,,University of the Pacific
18111401,,8762497072,,,,,5/23/22 9:28,Undergraduate (Bachelors - B.Sc. or B.A.),5/25/22 15:00,Referrals,,,,,,,,,,,,,,Luca Tic
18110451,,,,,,,5/23/22 8:12,,,Offline Sources,,,,,,,,,,,,,,
18109751,,8761873807,,,,,5/23/22 7:48,"Graduate (Masters, M.Sc. typically with intent to pursue Ph.D.)",,Direct Traffic,,,,,,,,,,,,,,Catholic Relief Services
18108551,,8773391926,,,,Hamburg,5/23/22 6:20,Doctorate (Ph.D.),,Offline Sources,,,,,,,,,,,,,,dcw consulting
18108451,,8773400338,1,,United Arab Emirates,Ras Al Khaymah,5/23/22 6:20,Scientist (Institution or Company) ,5/24/22 9:46,Offline Sources,5/24/22 0:58,1,,,,,,10,,,,,,RAK Hospital
18107951,,8761450266,,,,Gurgaon,5/23/22 5:38,Undergraduate (Bachelors - B.Sc. or B.A.),,Paid Search,,,,,,,,,,,,,,NA
18107451,,8760722999,,,,chuncheon,5/23/22 4:33,Faculty ( In a University or any other institution),,Offline Sources,,,,,,,,,,,,,,kangwon national university
18106501,,8760360791,,,,,5/23/22 3:02,,,Direct Traffic,,,,,,,,,,,,,,Università degli Studi di Milano
18106301,,,,,,,5/23/22 2:46,,,Offline Sources,,,,,,,,,,,,,,
18106251,,,,,,,5/23/22 2:44,,,Offline Sources,,,,,,,,,,,,,,
18105851,,,1,,,,5/23/22 1:48,,5/25/22 9:00,Organic Social,5/24/22 0:56,1,It was not hard neither too easy,,,2,,60,No,,,,Yes,
18104301,,,,,,,5/22/22 22:54,,,Offline Sources,,,,,,,,,,,,,,
18102501,,8758975005,,,,Oshogbo,5/22/22 18:58,"Graduate (Masters, M.Sc. typically with intent to pursue Ph.D.)",,Email Marketing,,,,,,,,,,,,,,University of Osun teaching hospital
18101901,,,,,,,5/22/22 17:13,,,Offline Sources,,,,,,,,,,,,,,
18101501,,8758460979,,,,São Paulo,5/22/22 16:57,Undergraduate (Bachelors - B.Sc. or B.A.),,Offline Sources,,,,,,,,,,,,,,Icesp
18101151,,8758427541,,,,,5/22/22 16:14,Undergraduate (Bachelors - B.Sc. or B.A.),5/25/22 15:00,Paid Search,,,,,,,,,,,,,,Touro University California
18099351,,8758035758,,,,San Carlos,5/22/22 13:22,Undergraduate (Bachelors - B.Sc. or B.A.),,Direct Traffic,,,,,,,,,,,,,,Stanford Genome Technology Center
17952101,,8757981718,1,,,,5/22/22 12:30,"Graduate (Masters, M.Sc. typically with intent to pursue Ph.D.)",5/25/22 15:00,Referrals,,,,,,,,,,,,,,Banaras Hindu University
18098551,,,,,,,5/22/22 12:04,,,Offline Sources,,,,,,,,,,,,,,
18098401,,,,,,,5/22/22 11:54,,,Offline Sources,,,,,,,,,,,,,,
18098201,,,,,,,5/22/22 11:23,,,Organic Search,,,,,,,,,,,,,,
18097451,,,,,,,5/22/22 9:26,,,Offline Sources,,,,,,,,,,,,,,
17943751,,8757712291,,,,Pune,5/22/22 9:22,"Graduate (Masters, M.Sc. typically with intent to pursue Ph.D.)",,Organic Social,,,,,,,,,,,,,,National institute of virology
18096751,,8756919154,1,,,FARIDABAD,5/22/22 7:59,Doctorate (Ph.D.),,Direct Traffic,,,,,,,,,,,,,,Icgeb new delhi
18096501,,8759751827,,,,jharsuguda,5/22/22 7:46,"Graduate (Masters, M.Sc. typically with intent to pursue Ph.D.)",,Direct Traffic,,,It was not hard neither too easy,,,5,,,Yes,,,,Yes,GITAM (deemed to be university)
18095551,,8757532813,,,,Puducherry,5/22/22 6:40,"Graduate (Masters, M.Sc. typically with intent to pursue Ph.D.)",,Offline Sources,,,,,,,,,,,,,,Pondicherry University
18095301,,,,,,,5/22/22 6:14,,,Organic Social,,,It was not hard neither too easy,,,5,,,Yes,,,,Yes,
18094701,,8757451624,,,,Maharashtra,5/22/22 5:13,Doctorate (Ph.D.),,Organic Search,,,,,,,,,,,,,,Ucsi university
18093751,,8757871426,,,,MANGALORE,5/22/22 0:11,Faculty ( In a University or any other institution),,Offline Sources,,,,,,,,,,,,,,A.J. Institute of Medical Sciences
18091951,,,,,,,5/21/22 16:21,,,Offline Sources,,,,,,,,,,,,,,
18090751,,8756033916,,,,,5/21/22 13:26,Post-Graduate (Post-doctorate),5/25/22 15:00,Email Marketing,,,,,,,,,,,,,,Brown University
18090601,,,,,,,5/21/22 12:51,,,Offline Sources,,,,,,,,,,,,,,
18088851,,,,,,,5/21/22 9:38,,,Offline Sources,,,,,,,,,,,,,,
18088751,,,,,,,5/21/22 9:28,,,Offline Sources,,,,,,,,,,,,,,
18087951,,8754995241,,,,,5/21/22 7:23,"Graduate (Masters, M.Sc. typically with intent to pursue Ph.D.)",,Organic Social,,,,,,,,,,,,,,"Presidency University, Kolkata"
18087751,,,,,,,5/21/22 6:52,,,Offline Sources,,,,,,,,,,,,,,
18087201,,,,,,,5/21/22 5:11,,,Offline Sources,,,,,,,,,,,,,,
18085601,,8754591904,,,,,5/21/22 1:12,Undergraduate (Bachelors - B.Sc. or B.A.),5/25/22 15:00,Organic Social,,,,,,,,,,,,,,Delhi university
18085351,,,,,,,5/21/22 0:24,,5/25/22 11:00,Offline Sources,,,,,,,,,,,,,,
18071101,,2596550418,,,,,5/20/22 23:57,,,Direct Traffic,,,,,,,,,,,,,,IIIT Delhi
18083901,,,,,,,5/20/22 21:44,,,Offline Sources,,,,,,,,,,,,,,
18083251,,2085406800,,,,,5/20/22 19:43,,,Offline Sources,,,,,,,,,,,,,,University of Delaware
18082051,,8753680305,,,,,5/20/22 18:30,Undergraduate (Bachelors - B.Sc. or B.A.),5/25/22 15:00,Paid Search,,,,,,,,,,,,,,Na
18081601,,8752757051,,,,,5/20/22 17:08,Post-Graduate (Post-doctorate),5/25/22 15:00,Email Marketing,,,,,,,,,,,,,,University of Montana
18081151,,,,,,,5/20/22 16:03,,,Offline Sources,,,,,,,,,,,,,,
18080451,,,,,,,5/20/22 14:51,,,Offline Sources,,,,,,,,,,,,,,
18080001,,8750458724,,,,,5/20/22 14:18,Post-Graduate (Post-doctorate),5/25/22 15:00,Email Marketing,,,,,,,,,,,,,,Brown University
16319851,,8750378255,,,,,5/20/22 14:09,Doctorate (Ph.D.),5/25/22 15:00,Organic Social,,,,,,,,,,,,,,Na
18079651,,8750469026,,,,,5/20/22 13:43,Faculty ( In a University or any other institution),5/25/22 15:00,Email Marketing,,,,,,,,,,,,,,Rhode Island Hospital/Brown University
18079551,,8750263897,,,United States,Houston,5/20/22 13:31,Doctorate (Ph.D.),,Referrals,,,,,,,,,,,,,,N/A
18079051,,,,,,,5/20/22 13:03,,,Offline Sources,,,,,,,,,,,,,,
18078251,,8746744224,,,,,5/20/22 11:43,Undergraduate (Bachelors - B.Sc. or B.A.),5/25/22 15:00,Direct Traffic,,,,,,,,,,,,,,University of Louisville
18078101,,7987001115,,,,,5/20/22 11:31,,,Offline Sources,,,,,,,,,,,,,,University of Kentucky
18077751,Bachelor's degree,6882093410,,,Nigeria,Abeokuta,5/20/22 11:20,,,Organic Social,,,,,,,,,,,,,,FUNAAB
18076351,,,,,,,5/20/22 9:43,,,Offline Sources,,,,,,,,,,,,,,
18074751,,,,,,,5/20/22 7:56,,,Offline Sources,,,,,,,,,,,,,,
18074651,,,,,,,5/20/22 7:50,,,Offline Sources,,,,,,,,,,,,,,
18074051,,,,,,,5/20/22 6:39,,,Offline Sources,,,,,,,,,,,,,,
18071801,,,,,,,5/20/22 4:34,,,Organic Social,,,,,,,,,,,,,,
18071051,,,,,,,5/20/22 3:25,,,Organic Social,,,Extremely easy,,,3,,,Yes,,,,Yes,
18070751,,,,,,,5/20/22 2:56,,,Offline Sources,,,,,,,,,,,,,,
18069201,,8741330601,,,India,Bangalore,5/20/22 1:57,,,Direct Traffic,,,,,,,,,,,,,,Capgemini
18069001,,8741393178,,,,Pune,5/20/22 1:32,"Graduate (Masters, M.Sc. typically with intent to pursue Ph.D.)",,Offline Sources,,,,,,,,,,,,,,Indian Institute of Science Education and Research
18068801,,8741277010,1,,,,5/20/22 1:22,Undergraduate (Bachelors - B.Sc. or B.A.),5/25/22 15:00,Paid Search,,,,,,,,,,,,,,University of Southern California
18067651,,,,,,,5/19/22 21:49,,,Direct Traffic,,,,,,,,,,,,,,
18065001,,,,,,,5/19/22 17:44,,,Offline Sources,,,It was not hard neither too easy,,,4,,,Yes,,,,Yes,
18064551,,8757953037,1,,,,5/19/22 16:59,"Graduate (Masters, M.Sc. typically with intent to pursue Ph.D.)",,Direct Traffic,,,,,,,,,,,,,,University of Calcutta
18063951,,8739172655,,,,Bangalore,5/19/22 15:53,"Graduate (Masters, M.Sc. typically with intent to pursue Ph.D.)",,Referrals,,,,,,,,,,,,,,Amrita
18063701,,8739168126,,,,,5/19/22 15:32,Undergraduate (Bachelors - B.Sc. or B.A.),5/25/22 15:00,Email Marketing,,,,,,,,,,,,,,University of Delaware
18063651,,8738139186,,,,,5/19/22 15:13,,,Offline Sources,,,,,,,,,,,,,,University of South Carolina
18063301,,8738949707,,,,,5/19/22 14:46,,,Offline Sources,,,,,,,,,,,,,,Delaware State University
18063101,,8738802857,,,,,5/19/22 14:36,"Graduate (Masters, M.Sc. typically with intent to pursue Ph.D.)",,Direct Traffic,,,,,,,,,,,,,,Delaware State University
18063051,,8738870125,,,,,5/19/22 14:32,"Graduate (Masters, M.Sc. typically with intent to pursue Ph.D.)",5/25/22 15:00,Email Marketing,,,,,,,,,,,,,,Delaware State University
18062551,,1447018640,,,,,5/19/22 13:57,,5/19/22 14:07,Referrals,,,,,,,,,,,,,,Louisiana Tech University
18062201,,8738686848,1,,,DUNCAN,5/19/22 13:32,Doctorate (Ph.D.),5/24/22 11:10,Paid Search,,,,,,,,,,,,,,Columbia University
18061751,,,,,,,5/19/22 13:07,,,Offline Sources,,,,,,,,,,,,,,
18061551,,7019718151,,,,,5/19/22 12:58,,,Offline Sources,,,,,,,,,,,,,,"Indian Institute Of Technology, Madras"
18060651,,,,,,,5/19/22 12:10,,,Offline Sources,,,,,,,,,,,,,,
18059901,,8737604440,,,,Lucknow,5/19/22 12:09,"Graduate (Masters, M.Sc. typically with intent to pursue Ph.D.)",5/23/22 3:15,Organic Social,,,,,,,,,,,,,,University of Sussex
18060101,,8737491510,,,,New Delhi,5/19/22 11:44,"Graduate (Masters, M.Sc. typically with intent to pursue Ph.D.)",,Organic Search,,,,,,,,,,,,,,Jamia Hamdard
18059951,,,,,,,5/19/22 11:36,,,Organic Search,,,,,,,,,,,,,,
18059001,,8737094966,,,,,5/19/22 10:28,Undergraduate (Bachelors - B.Sc. or B.A.),5/25/22 15:00,Email Marketing,,,,,,,,,,,,,,University of Delaware
18058851,,2641790437,,,,,5/19/22 10:09,,,Organic Search,,,Extremely easy,,,4,,,No,,,,Yes,University of Cambridge
